order,type,orderNumber
Cantina Pinot Bianco,Wine,41200
Risotto,Side,41204
Pork Tenderloin,Meat,41204
Cantina Pinot Bianco,Wine,41204
Risotto,Side,41223
Pork Tenderloin,Meat,41223
Cantina Pinot Bianco,Wine,41223
Risotto,Side,41225
Duck,Meat,41225
Blackstone Merlot,Wine,41225
Risotto,Side,41227
Roast Chicken,Meat,41227
Duckhorn Chardonnay,Wine,41227
Risotto,Side,41227
Pork Tenderloin,Meat,41227
Cantina Pinot Bianco,Wine,41227
Risotto,Side,41256
Pork Tenderloin,Meat,41256
Cantina Pinot Bianco,Wine,41256
Risotto,Side,41256
Pork Tenderloin,Meat,41256
Cantina Pinot Bianco,Wine,41256
Risotto,Side,41257
Filet Mignon,Meat,41257
Blackstone Merlot,Wine,41257
Steamed Seasonal Veg,Side,41276
Roast Chicken,Meat,41276
Duckhorn Chardonnay,Wine,41276
Steamed Seasonal Veg,Side,41276
Pork Tenderloin,Meat,41276
Cantina Pinot Bianco,Wine,41276
Steamed Seasonal Veg,Side,41285
Pork Tenderloin,Meat,41285
Cantina Pinot Bianco,Wine,41285
Steamed Seasonal Veg,Side,41325
Roast Chicken,Meat,41325
Duckhorn Chardonnay,Wine,41325
Steamed Seasonal Veg,Side,41337
Pork Tenderloin,Meat,41337
Cantina Pinot Bianco,Wine,41337
Steamed Seasonal Veg,Side,41340
Pork Tenderloin,Meat,41340
Cantina Pinot Bianco,Wine,41340
Steamed Seasonal Veg,Side,41344
Pork Tenderloin,Meat,41344
Cantina Pinot Bianco,Wine,41344
Steamed Seasonal Veg,Side,41345
Duck,Meat,41345
Duckhorn Chardonnay,Wine,41345
Steamed Seasonal Veg,Side,41348
Pork Tenderloin,Meat,41348
Cantina Pinot Bianco,Wine,41348
Steamed Seasonal Veg,Side,41361
Pork Tenderloin,Meat,41361
Cantina Pinot Bianco,Wine,41361
Steamed Seasonal Veg,Side,41369
Pork Tenderloin,Meat,41369
Cantina Pinot Bianco,Wine,41369
Steamed Seasonal Veg,Side,41384
Pork Tenderloin,Meat,41384
Cantina Pinot Bianco,Wine,41384
Steamed Seasonal Veg,Side,41409
Duck,Meat,41409
Duckhorn Chardonnay,Wine,41409
Steamed Seasonal Veg,Side,41409
Pork Tenderloin,Meat,41409
Cantina Pinot Bianco,Wine,41409
Steamed Seasonal Veg,Side,41422
Pork Tenderloin,Meat,41422
Cantina Pinot Bianco,Wine,41422
Steamed Seasonal Veg,Side,41428
Pork Tenderloin,Meat,41428
Cantina Pinot Bianco,Wine,41428
Steamed Seasonal Veg,Side,41435
Pork Tenderloin,Meat,41435
Cantina Pinot Bianco,Wine,41435
Steamed Seasonal Veg,Side,41438
Filet Mignon,Meat,41438
Blackstone Merlot,Wine,41438
Steamed Seasonal Veg,Side,41452
Roast Chicken,Meat,41452
Duckhorn Chardonnay,Wine,41452
Mashed Potatoes,Side,41487
Pork Tenderloin,Meat,41487
Cantina Pinot Bianco,Wine,41487
Mashed Potatoes,Side,41537
Duck,Meat,41537
Duckhorn Chardonnay,Wine,41537
Mashed Potatoes,Side,41551
Pork Tenderloin,Meat,41551
Cantina Pinot Bianco,Wine,41551
Mashed Potatoes,Side,41559
Pork Tenderloin,Meat,41559
Cantina Pinot Bianco,Wine,41559
Caesar Salad,Side,41575
Duck,Meat,41575
Duckhorn Chardonnay,Wine,41575
Caesar Salad,Side,41599
Pork Tenderloin,Meat,41599
Cantina Pinot Bianco,Wine,41599
Caesar Salad,Side,41602
Pork Tenderloin,Meat,41602
Cantina Pinot Bianco,Wine,41602
Caesar Salad,Side,41602
Pork Tenderloin,Meat,41602
Cantina Pinot Bianco,Wine,41602
Caesar Salad,Side,41619
Pork Tenderloin,Meat,41619
Cantina Pinot Bianco,Wine,41619
Roasted Root Veg,Side,41666
Pork Tenderloin,Meat,41666
Cantina Pinot Bianco,Wine,41666
Roasted Root Veg,Side,41682
Duck,Meat,41682
Duckhorn Chardonnay,Wine,41682
Roasted Root Veg,Side,41690
Duck,Meat,41690
Duckhorn Chardonnay,Wine,41690
Roasted Root Veg,Side,41705
Pork Tenderloin,Meat,41705
Cantina Pinot Bianco,Wine,41705
Roasted Root Veg,Side,41724
Pork Tenderloin,Meat,41724
Cantina Pinot Bianco,Wine,41724
Roasted Root Veg,Side,41733
Pork Tenderloin,Meat,41733
Cantina Pinot Bianco,Wine,41733
Roasted Root Veg,Side,41751
Roast Chicken,Meat,41751
Duckhorn Chardonnay,Wine,41751
Roasted Root Veg,Side,41773
Filet Mignon,Meat,41773
Blackstone Merlot,Wine,41773
Roasted Root Veg,Side,41784
Pork Tenderloin,Meat,41784
Cantina Pinot Bianco,Wine,41784
Roasted Root Veg,Side,41793
Filet Mignon,Meat,41793
Blackstone Merlot,Wine,41793
Roasted Root Veg,Side,41807
Pork Tenderloin,Meat,41807
Cantina Pinot Bianco,Wine,41807
Roasted Root Veg,Side,41843
Pork Tenderloin,Meat,41843
Cantina Pinot Bianco,Wine,41843
Roasted Root Veg,Side,41853
Filet Mignon,Meat,41853
Blackstone Merlot,Wine,41853
Roasted Root Veg,Side,41859
Roast Chicken,Meat,41859
Duckhorn Chardonnay,Wine,41859
Roasted Root Veg,Side,41863
Roast Chicken,Meat,41863
Duckhorn Chardonnay,Wine,41863
Roasted Root Veg,Side,41866
Pork Tenderloin,Meat,41866
Cantina Pinot Bianco,Wine,41866
Baked Beans,Side,41887
Pork Tenderloin,Meat,41887
Cantina Pinot Bianco,Wine,41887
Baked Beans,Side,41908
Duck,Meat,41908
Duckhorn Chardonnay,Wine,41908
Baked Beans,Side,41909
Duck,Meat,41909
Duckhorn Chardonnay,Wine,41909
Baked Beans,Side,41923
Filet Mignon,Meat,41923
Meiomi Pinot Noir,Wine,41923
Baked Beans,Side,41926
Roast Chicken,Meat,41926
Duckhorn Chardonnay,Wine,41926
Baked Beans,Side,41943
Filet Mignon,Meat,41943
Duckhorn Chardonnay,Wine,41943
Baked Beans,Side,41962
Pork Tenderloin,Meat,41962
Cantina Pinot Bianco,Wine,41962
Baked Beans,Side,41964
Duck,Meat,41964
Duckhorn Chardonnay,Wine,41964
Risotto,Side,41991
Pork Tenderloin,Meat,41991
Cantina Pinot Bianco,Wine,41991
Risotto,Side,42032
Filet Mignon,Meat,42032
Blackstone Merlot,Wine,42032
Risotto,Side,42034
Pork Tenderloin,Meat,42034
Cantina Pinot Bianco,Wine,42034
Risotto,Side,42045
Pork Tenderloin,Meat,42045
Cantina Pinot Bianco,Wine,42045
Risotto,Side,42046
Duck,Meat,42046
Duckhorn Chardonnay,Wine,42046
Risotto,Side,42056
Pork Tenderloin,Meat,42056
Cantina Pinot Bianco,Wine,42056
Risotto,Side,42070
Roast Chicken,Meat,42070
Duckhorn Chardonnay,Wine,42070
Steamed Seasonal Veg,Side,42079
Filet Mignon,Meat,42079
Blackstone Merlot,Wine,42079
Steamed Seasonal Veg,Side,42081
Filet Mignon,Meat,42081
Meiomi Pinot Noir,Wine,42081
Steamed Seasonal Veg,Side,42086
Roast Chicken,Meat,42086
Duckhorn Chardonnay,Wine,42086
Steamed Seasonal Veg,Side,42093
Pork Tenderloin,Meat,42093
Cantina Pinot Bianco,Wine,42093
Steamed Seasonal Veg,Side,42101
Pork Tenderloin,Meat,42101
Cantina Pinot Bianco,Wine,42101
Steamed Seasonal Veg,Side,42134
Pork Tenderloin,Meat,42134
Cantina Pinot Bianco,Wine,42134
Steamed Seasonal Veg,Side,42135
Pork Tenderloin,Meat,42135
Cantina Pinot Bianco,Wine,42135
Steamed Seasonal Veg,Side,42136
Pork Tenderloin,Meat,42136
Cantina Pinot Bianco,Wine,42136
Steamed Seasonal Veg,Side,42137
Roast Chicken,Meat,42137
Duckhorn Chardonnay,Wine,42137
Steamed Seasonal Veg,Side,42137
Pork Tenderloin,Meat,42137
Cantina Pinot Bianco,Wine,42137
Steamed Seasonal Veg,Side,42140
Roast Chicken,Meat,42140
Duckhorn Chardonnay,Wine,42140
Steamed Seasonal Veg,Side,42147
Roast Chicken,Meat,42147
Blackstone Merlot,Wine,42147
Steamed Seasonal Veg,Side,42193
Roast Chicken,Meat,42193
Duckhorn Chardonnay,Wine,42193
Steamed Seasonal Veg,Side,42196
Pork Tenderloin,Meat,42196
Cantina Pinot Bianco,Wine,42196
Steamed Seasonal Veg,Side,42200
Duck,Meat,42200
Duckhorn Chardonnay,Wine,42200
Steamed Seasonal Veg,Side,42203
Roast Chicken,Meat,42203
Duckhorn Chardonnay,Wine,42203
Steamed Seasonal Veg,Side,42236
Pork Tenderloin,Meat,42236
Cantina Pinot Bianco,Wine,42236
Steamed Seasonal Veg,Side,42251
Roast Chicken,Meat,42251
Duckhorn Chardonnay,Wine,42251
Steamed Seasonal Veg,Side,42272
Roast Chicken,Meat,42272
Duckhorn Chardonnay,Wine,42272
Mashed Potatoes,Side,42277
Roast Chicken,Meat,42277
Blackstone Merlot,Wine,42277
Mashed Potatoes,Side,42279
Pork Tenderloin,Meat,42279
Cantina Pinot Bianco,Wine,42279
Mashed Potatoes,Side,42283
Duck,Meat,42283
Duckhorn Chardonnay,Wine,42283
Mashed Potatoes,Side,42314
Roast Chicken,Meat,42314
Duckhorn Chardonnay,Wine,42314
Mashed Potatoes,Side,42334
Roast Chicken,Meat,42334
Duckhorn Chardonnay,Wine,42334
Mashed Potatoes,Side,42337
Pork Tenderloin,Meat,42337
Cantina Pinot Bianco,Wine,42337
Mashed Potatoes,Side,42342
Pork Tenderloin,Meat,42342
Cantina Pinot Bianco,Wine,42342
Mashed Potatoes,Side,42360
Pork Tenderloin,Meat,42360
Cantina Pinot Bianco,Wine,42360
Caesar Salad,Side,42379
Pork Tenderloin,Meat,42379
Duckhorn Chardonnay,Wine,42379
Caesar Salad,Side,42388
Duck,Meat,42388
Duckhorn Chardonnay,Wine,42388
Caesar Salad,Side,42393
Pork Tenderloin,Meat,42393
Cantina Pinot Bianco,Wine,42393
Caesar Salad,Side,42402
Pork Tenderloin,Meat,42402
Meiomi Pinot Noir,Wine,42402
Caesar Salad,Side,42403
Pork Tenderloin,Meat,42403
Cantina Pinot Bianco,Wine,42403
Caesar Salad,Side,42440
Filet Mignon,Meat,42440
Meiomi Pinot Noir,Wine,42440
Caesar Salad,Side,42465
Duck,Meat,42465
Blackstone Merlot,Wine,42465
Caesar Salad,Side,42470
Pork Tenderloin,Meat,42470
Blackstone Merlot,Wine,42470
Caesar Salad,Side,42473
Pork Tenderloin,Meat,42473
Cantina Pinot Bianco,Wine,42473
Caesar Salad,Side,42476
Roast Chicken,Meat,42476
Duckhorn Chardonnay,Wine,42476
Roasted Root Veg,Side,42483
Roast Chicken,Meat,42483
Duckhorn Chardonnay,Wine,42483
Roasted Root Veg,Side,42492
Pork Tenderloin,Meat,42492
Cantina Pinot Bianco,Wine,42492
Roasted Root Veg,Side,42516
Roast Chicken,Meat,42516
Duckhorn Chardonnay,Wine,42516
Roasted Root Veg,Side,42517
Roast Chicken,Meat,42517
Duckhorn Chardonnay,Wine,42517
Roasted Root Veg,Side,42522
Roast Chicken,Meat,42522
Duckhorn Chardonnay,Wine,42522
Roasted Root Veg,Side,42540
Duck,Meat,42540
Duckhorn Chardonnay,Wine,42540
Roasted Root Veg,Side,42572
Pork Tenderloin,Meat,42572
Cantina Pinot Bianco,Wine,42572
Roasted Root Veg,Side,42577
Duck,Meat,42577
Cantina Pinot Bianco,Wine,42577
Roasted Root Veg,Side,42588
Roast Chicken,Meat,42588
Duckhorn Chardonnay,Wine,42588
Roasted Root Veg,Side,42632
Roast Chicken,Meat,42632
Duckhorn Chardonnay,Wine,42632
Roasted Root Veg,Side,42638
Roast Chicken,Meat,42638
Meiomi Pinot Noir,Wine,42638
Roasted Root Veg,Side,42665
Pork Tenderloin,Meat,42665
Cantina Pinot Bianco,Wine,42665
Roasted Root Veg,Side,42668
Duck,Meat,42668
Duckhorn Chardonnay,Wine,42668
Baked Beans,Side,42696
Roast Chicken,Meat,42696
Duckhorn Chardonnay,Wine,42696
Baked Beans,Side,42701
Duck,Meat,42701
Meiomi Pinot Noir,Wine,42701
Baked Beans,Side,42706
Pork Tenderloin,Meat,42706
Cantina Pinot Bianco,Wine,42706
Baked Beans,Side,42736
Filet Mignon,Meat,42736
Blackstone Merlot,Wine,42736
Baked Beans,Side,42770
Roast Chicken,Meat,42770
Duckhorn Chardonnay,Wine,42770
Baked Beans,Side,42773
Roast Chicken,Meat,42773
Duckhorn Chardonnay,Wine,42773
Risotto,Side,42796
Pork Tenderloin,Meat,42796
Cantina Pinot Bianco,Wine,42796
Risotto,Side,42810
Pork Tenderloin,Meat,42810
Cantina Pinot Bianco,Wine,42810
Risotto,Side,42820
Duck,Meat,42820
Duckhorn Chardonnay,Wine,42820
Risotto,Side,42820
Duck,Meat,42820
Meiomi Pinot Noir,Wine,42820
Risotto,Side,42823
Pork Tenderloin,Meat,42823
Cantina Pinot Bianco,Wine,42823
Risotto,Side,42841
Pork Tenderloin,Meat,42841
Cantina Pinot Bianco,Wine,42841
Risotto,Side,42861
Pork Tenderloin,Meat,42861
Cantina Pinot Bianco,Wine,42861
Risotto,Side,42865
Roast Chicken,Meat,42865
Duckhorn Chardonnay,Wine,42865
Risotto,Side,42871
Duck,Meat,42871
Duckhorn Chardonnay,Wine,42871
Risotto,Side,42880
Pork Tenderloin,Meat,42880
Cantina Pinot Bianco,Wine,42880
Risotto,Side,42884
Filet Mignon,Meat,42884
Duckhorn Chardonnay,Wine,42884
Steamed Seasonal Veg,Side,42906
Duck,Meat,42906
Duckhorn Chardonnay,Wine,42906
Steamed Seasonal Veg,Side,42935
Pork Tenderloin,Meat,42935
Cantina Pinot Bianco,Wine,42935
Steamed Seasonal Veg,Side,42937
Pork Tenderloin,Meat,42937
Cantina Pinot Bianco,Wine,42937
Steamed Seasonal Veg,Side,42942
Roast Chicken,Meat,42942
Meiomi Pinot Noir,Wine,42942
Steamed Seasonal Veg,Side,42954
Pork Tenderloin,Meat,42954
Cantina Pinot Bianco,Wine,42954
Steamed Seasonal Veg,Side,42958
Duck,Meat,42958
Meiomi Pinot Noir,Wine,42958
Steamed Seasonal Veg,Side,42974
Roast Chicken,Meat,42974
Duckhorn Chardonnay,Wine,42974
Steamed Seasonal Veg,Side,43014
Pork Tenderloin,Meat,43014
Cantina Pinot Bianco,Wine,43014
Steamed Seasonal Veg,Side,43029
Pork Tenderloin,Meat,43029
Cantina Pinot Bianco,Wine,43029
Steamed Seasonal Veg,Side,43029
Filet Mignon,Meat,43029
Meiomi Pinot Noir,Wine,43029
Steamed Seasonal Veg,Side,43037
Pork Tenderloin,Meat,43037
Cantina Pinot Bianco,Wine,43037
Steamed Seasonal Veg,Side,43048
Duck,Meat,43048
Duckhorn Chardonnay,Wine,43048
Steamed Seasonal Veg,Side,43048
Pork Tenderloin,Meat,43048
Meiomi Pinot Noir,Wine,43048
Steamed Seasonal Veg,Side,43051
Pork Tenderloin,Meat,43051
Cantina Pinot Bianco,Wine,43051
Steamed Seasonal Veg,Side,43054
Pork Tenderloin,Meat,43054
Cantina Pinot Bianco,Wine,43054
Steamed Seasonal Veg,Side,43065
Pork Tenderloin,Meat,43065
Cantina Pinot Bianco,Wine,43065
Steamed Seasonal Veg,Side,43069
Pork Tenderloin,Meat,43069
Cantina Pinot Bianco,Wine,43069
Steamed Seasonal Veg,Side,43082
Roast Chicken,Meat,43082
Meiomi Pinot Noir,Wine,43082
Steamed Seasonal Veg,Side,43087
Duck,Meat,43087
Duckhorn Chardonnay,Wine,43087
Mashed Potatoes,Side,43090
Duck,Meat,43090
Duckhorn Chardonnay,Wine,43090
Mashed Potatoes,Side,43105
Duck,Meat,43105
Blackstone Merlot,Wine,43105
Mashed Potatoes,Side,43122
Pork Tenderloin,Meat,43122
Cantina Pinot Bianco,Wine,43122
Mashed Potatoes,Side,43131
Pork Tenderloin,Meat,43131
Cantina Pinot Bianco,Wine,43131
Mashed Potatoes,Side,43140
Pork Tenderloin,Meat,43140
Cantina Pinot Bianco,Wine,43140
Mashed Potatoes,Side,43154
Roast Chicken,Meat,43154
Duckhorn Chardonnay,Wine,43154
Caesar Salad,Side,43196
Roast Chicken,Meat,43196
Duckhorn Chardonnay,Wine,43196
Caesar Salad,Side,43228
Pork Tenderloin,Meat,43228
Duckhorn Chardonnay,Wine,43228
Caesar Salad,Side,43237
Pork Tenderloin,Meat,43237
Cantina Pinot Bianco,Wine,43237
Caesar Salad,Side,43252
Pork Tenderloin,Meat,43252
Cantina Pinot Bianco,Wine,43252
Caesar Salad,Side,43262
Pork Tenderloin,Meat,43262
Cantina Pinot Bianco,Wine,43262
Caesar Salad,Side,43271
Duck,Meat,43271
Cantina Pinot Bianco,Wine,43271
Caesar Salad,Side,43279
Pork Tenderloin,Meat,43279
Blackstone Merlot,Wine,43279
Caesar Salad,Side,43288
Duck,Meat,43288
Cantina Pinot Bianco,Wine,43288
Roasted Root Veg,Side,43319
Duck,Meat,43319
Meiomi Pinot Noir,Wine,43319
Roasted Root Veg,Side,43320
Roast Chicken,Meat,43320
Duckhorn Chardonnay,Wine,43320
Roasted Root Veg,Side,43320
Pork Tenderloin,Meat,43320
Cantina Pinot Bianco,Wine,43320
Roasted Root Veg,Side,43320
Pork Tenderloin,Meat,43320
Cantina Pinot Bianco,Wine,43320
Roasted Root Veg,Side,43321
Pork Tenderloin,Meat,43321
Cantina Pinot Bianco,Wine,43321
Roasted Root Veg,Side,43336
Pork Tenderloin,Meat,43336
Cantina Pinot Bianco,Wine,43336
Roasted Root Veg,Side,43338
Duck,Meat,43338
Duckhorn Chardonnay,Wine,43338
Roasted Root Veg,Side,43343
Duck,Meat,43343
Duckhorn Chardonnay,Wine,43343
Roasted Root Veg,Side,43347
Pork Tenderloin,Meat,43347
Cantina Pinot Bianco,Wine,43347
Roasted Root Veg,Side,43350
Pork Tenderloin,Meat,43350
Cantina Pinot Bianco,Wine,43350
Roasted Root Veg,Side,43368
Pork Tenderloin,Meat,43368
Cantina Pinot Bianco,Wine,43368
Roasted Root Veg,Side,43371
Pork Tenderloin,Meat,43371
Cantina Pinot Bianco,Wine,43371
Roasted Root Veg,Side,43400
Roast Chicken,Meat,43400
Blackstone Merlot,Wine,43400
Roasted Root Veg,Side,43414
Duck,Meat,43414
Duckhorn Chardonnay,Wine,43414
Roasted Root Veg,Side,43442
Pork Tenderloin,Meat,43442
Cantina Pinot Bianco,Wine,43442
Roasted Root Veg,Side,43449
Filet Mignon,Meat,43449
Meiomi Pinot Noir,Wine,43449
Roasted Root Veg,Side,43487
Pork Tenderloin,Meat,43487
Cantina Pinot Bianco,Wine,43487
Baked Beans,Side,43503
Roast Chicken,Meat,43503
Blackstone Merlot,Wine,43503
Baked Beans,Side,43523
Pork Tenderloin,Meat,43523
Cantina Pinot Bianco,Wine,43523
Baked Beans,Side,43532
Duck,Meat,43532
Duckhorn Chardonnay,Wine,43532
Baked Beans,Side,43540
Pork Tenderloin,Meat,43540
Cantina Pinot Bianco,Wine,43540
Baked Beans,Side,43543
Roast Chicken,Meat,43543
Meiomi Pinot Noir,Wine,43543
Baked Beans,Side,43550
Pork Tenderloin,Meat,43550
Cantina Pinot Bianco,Wine,43550
Baked Beans,Side,43559
Roast Chicken,Meat,43559
Duckhorn Chardonnay,Wine,43559
Risotto,Side,43605
Duck,Meat,43605
Duckhorn Chardonnay,Wine,43605
Risotto,Side,43606
Duck,Meat,43606
Duckhorn Chardonnay,Wine,43606
Risotto,Side,43609
Pork Tenderloin,Meat,43609
Cantina Pinot Bianco,Wine,43609
Risotto,Side,43620
Duck,Meat,43620
Duckhorn Chardonnay,Wine,43620
Risotto,Side,43623
Pork Tenderloin,Meat,43623
Cantina Pinot Bianco,Wine,43623
Risotto,Side,43631
Duck,Meat,43631
Duckhorn Chardonnay,Wine,43631
Risotto,Side,43641
Pork Tenderloin,Meat,43641
Cantina Pinot Bianco,Wine,43641
Risotto,Side,43670
Pork Tenderloin,Meat,43670
Cantina Pinot Bianco,Wine,43670
Risotto,Side,43693
Pork Tenderloin,Meat,43693
Cantina Pinot Bianco,Wine,43693
Risotto,Side,43693
Pork Tenderloin,Meat,43693
Cantina Pinot Bianco,Wine,43693
Risotto,Side,43697
Pork Tenderloin,Meat,43697
Cantina Pinot Bianco,Wine,43697
Steamed Seasonal Veg,Side,43711
Roast Chicken,Meat,43711
Blackstone Merlot,Wine,43711
Steamed Seasonal Veg,Side,43715
Pork Tenderloin,Meat,43715
Cantina Pinot Bianco,Wine,43715
Steamed Seasonal Veg,Side,43734
Duck,Meat,43734
Duckhorn Chardonnay,Wine,43734
Steamed Seasonal Veg,Side,43778
Roast Chicken,Meat,43778
Duckhorn Chardonnay,Wine,43778
Steamed Seasonal Veg,Side,43785
Roast Chicken,Meat,43785
Duckhorn Chardonnay,Wine,43785
Steamed Seasonal Veg,Side,43802
Roast Chicken,Meat,43802
Duckhorn Chardonnay,Wine,43802
Steamed Seasonal Veg,Side,43808
Duck,Meat,43808
Duckhorn Chardonnay,Wine,43808
Steamed Seasonal Veg,Side,43810
Filet Mignon,Meat,43810
Cantina Pinot Bianco,Wine,43810
Steamed Seasonal Veg,Side,43811
Pork Tenderloin,Meat,43811
Cantina Pinot Bianco,Wine,43811
Steamed Seasonal Veg,Side,43812
Roast Chicken,Meat,43812
Duckhorn Chardonnay,Wine,43812
Steamed Seasonal Veg,Side,43826
Duck,Meat,43826
Duckhorn Chardonnay,Wine,43826
Steamed Seasonal Veg,Side,43849
Pork Tenderloin,Meat,43849
Cantina Pinot Bianco,Wine,43849
Steamed Seasonal Veg,Side,43861
Duck,Meat,43861
Duckhorn Chardonnay,Wine,43861
Steamed Seasonal Veg,Side,43880
Pork Tenderloin,Meat,43880
Cantina Pinot Bianco,Wine,43880
Steamed Seasonal Veg,Side,43887
Pork Tenderloin,Meat,43887
Cantina Pinot Bianco,Wine,43887
Steamed Seasonal Veg,Side,43890
Pork Tenderloin,Meat,43890
Cantina Pinot Bianco,Wine,43890
Mashed Potatoes,Side,43906
Pork Tenderloin,Meat,43906
Cantina Pinot Bianco,Wine,43906
Mashed Potatoes,Side,43914
Pork Tenderloin,Meat,43914
Cantina Pinot Bianco,Wine,43914
Mashed Potatoes,Side,43921
Roast Chicken,Meat,43921
Duckhorn Chardonnay,Wine,43921
Mashed Potatoes,Side,43936
Pork Tenderloin,Meat,43936
Cantina Pinot Bianco,Wine,43936
Mashed Potatoes,Side,43941
Filet Mignon,Meat,43941
Blackstone Merlot,Wine,43941
Mashed Potatoes,Side,43955
Duck,Meat,43955
Duckhorn Chardonnay,Wine,43955
Mashed Potatoes,Side,43970
Pork Tenderloin,Meat,43970
Cantina Pinot Bianco,Wine,43970
Mashed Potatoes,Side,43973
Duck,Meat,43973
Duckhorn Chardonnay,Wine,43973
Mashed Potatoes,Side,43978
Pork Tenderloin,Meat,43978
Cantina Pinot Bianco,Wine,43978
Mashed Potatoes,Side,43981
Roast Chicken,Meat,43981
Duckhorn Chardonnay,Wine,43981
Mashed Potatoes,Side,43989
Pork Tenderloin,Meat,43989
Cantina Pinot Bianco,Wine,43989
Caesar Salad,Side,44038
Filet Mignon,Meat,44038
Blackstone Merlot,Wine,44038
Caesar Salad,Side,44055
Roast Chicken,Meat,44055
Duckhorn Chardonnay,Wine,44055
Caesar Salad,Side,44064
Roast Chicken,Meat,44064
Duckhorn Chardonnay,Wine,44064
Caesar Salad,Side,44068
Duck,Meat,44068
Duckhorn Chardonnay,Wine,44068
Caesar Salad,Side,44082
Pork Tenderloin,Meat,44082
Meiomi Pinot Noir,Wine,44082
Caesar Salad,Side,44101
Pork Tenderloin,Meat,44101
Cantina Pinot Bianco,Wine,44101
Roasted Root Veg,Side,44126
Duck,Meat,44126
Duckhorn Chardonnay,Wine,44126
Roasted Root Veg,Side,44130
Filet Mignon,Meat,44130
Blackstone Merlot,Wine,44130
Roasted Root Veg,Side,44141
Roast Chicken,Meat,44141
Duckhorn Chardonnay,Wine,44141
Roasted Root Veg,Side,44146
Pork Tenderloin,Meat,44146
Cantina Pinot Bianco,Wine,44146
Roasted Root Veg,Side,44176
Pork Tenderloin,Meat,44176
Cantina Pinot Bianco,Wine,44176
Roasted Root Veg,Side,44180
Pork Tenderloin,Meat,44180
Cantina Pinot Bianco,Wine,44180
Roasted Root Veg,Side,44193
Duck,Meat,44193
Duckhorn Chardonnay,Wine,44193
Roasted Root Veg,Side,44203
Pork Tenderloin,Meat,44203
Cantina Pinot Bianco,Wine,44203
Roasted Root Veg,Side,44203
Filet Mignon,Meat,44203
Duckhorn Chardonnay,Wine,44203
Roasted Root Veg,Side,44221
Pork Tenderloin,Meat,44221
Cantina Pinot Bianco,Wine,44221
Roasted Root Veg,Side,44224
Pork Tenderloin,Meat,44224
Cantina Pinot Bianco,Wine,44224
Roasted Root Veg,Side,44233
Pork Tenderloin,Meat,44233
Cantina Pinot Bianco,Wine,44233
Roasted Root Veg,Side,44241
Filet Mignon,Meat,44241
Blackstone Merlot,Wine,44241
Roasted Root Veg,Side,44257
Pork Tenderloin,Meat,44257
Cantina Pinot Bianco,Wine,44257
Roasted Root Veg,Side,44286
Roast Chicken,Meat,44286
Duckhorn Chardonnay,Wine,44286
Roasted Root Veg,Side,44286
Roast Chicken,Meat,44286
Duckhorn Chardonnay,Wine,44286
Roasted Root Veg,Side,44287
Roast Chicken,Meat,44287
Duckhorn Chardonnay,Wine,44287
Roasted Root Veg,Side,44293
Pork Tenderloin,Meat,44293
Cantina Pinot Bianco,Wine,44293
Baked Beans,Side,44313
Pork Tenderloin,Meat,44313
Meiomi Pinot Noir,Wine,44313
Baked Beans,Side,44326
Duck,Meat,44326
Blackstone Merlot,Wine,44326
Baked Beans,Side,44364
Pork Tenderloin,Meat,44364
Blackstone Merlot,Wine,44364
Baked Beans,Side,44366
Pork Tenderloin,Meat,44366
Cantina Pinot Bianco,Wine,44366
Baked Beans,Side,44371
Roast Chicken,Meat,44371
Duckhorn Chardonnay,Wine,44371
Baked Beans,Side,44376
Pork Tenderloin,Meat,44376
Meiomi Pinot Noir,Wine,44376
Baked Beans,Side,44379
Duck,Meat,44379
Duckhorn Chardonnay,Wine,44379
Baked Beans,Side,44382
Filet Mignon,Meat,44382
Meiomi Pinot Noir,Wine,44382
Risotto,Side,44411
Pork Tenderloin,Meat,44411
Cantina Pinot Bianco,Wine,44411
Risotto,Side,44422
Filet Mignon,Meat,44422
Blackstone Merlot,Wine,44422
Risotto,Side,44440
Pork Tenderloin,Meat,44440
Cantina Pinot Bianco,Wine,44440
Risotto,Side,44449
Duck,Meat,44449
Duckhorn Chardonnay,Wine,44449
Risotto,Side,44461
Pork Tenderloin,Meat,44461
Cantina Pinot Bianco,Wine,44461
Risotto,Side,44468
Pork Tenderloin,Meat,44468
Cantina Pinot Bianco,Wine,44468
Risotto,Side,44487
Pork Tenderloin,Meat,44487
Cantina Pinot Bianco,Wine,44487
Risotto,Side,44501
Pork Tenderloin,Meat,44501
Blackstone Merlot,Wine,44501
Risotto,Side,44505
Duck,Meat,44505
Duckhorn Chardonnay,Wine,44505
Steamed Seasonal Veg,Side,44518
Pork Tenderloin,Meat,44518
Cantina Pinot Bianco,Wine,44518
Steamed Seasonal Veg,Side,44518
Pork Tenderloin,Meat,44518
Duckhorn Chardonnay,Wine,44518
Steamed Seasonal Veg,Side,44538
Pork Tenderloin,Meat,44538
Cantina Pinot Bianco,Wine,44538
Steamed Seasonal Veg,Side,44576
Pork Tenderloin,Meat,44576
Cantina Pinot Bianco,Wine,44576
Steamed Seasonal Veg,Side,44579
Pork Tenderloin,Meat,44579
Cantina Pinot Bianco,Wine,44579
Steamed Seasonal Veg,Side,44583
Duck,Meat,44583
Cantina Pinot Bianco,Wine,44583
Steamed Seasonal Veg,Side,44584
